id,created_at,text
814161510884843521,2016-12-28 17:30:05,You can earn extra AA miles &amp; elite credit with these special fares — but you need to know what to look out for: https://t.co/LUHPx2WQOJ
814154020084469760,2016-12-28 17:00:19,There’s not much time left to get a double bonus when you transfer Starpoints to Alaska Mileage Plan: https://t.co/FnaADjQ5Yb
814150117460676609,2016-12-28 16:44:48,"RT @Hamilton4TX: @thepointsguy you weren't kidding about the restaurant points w/ the @Chase Sapphire Reserve.
Our company Christmas party…"
814143008765513732,2016-12-28 16:16:33,You’d better think twice if you plan to misbehave on an upcoming Korean Air flight: https://t.co/g8flgdPQTk
814131303809486848,2016-12-28 15:30:03,"Review: 21+ hours in business class on Singapore Airlines' A380 — 4 meals, 3 airports, 128 images: https://t.co/mWTwZYEZEU"
814123805127966720,2016-12-28 15:00:15,Attention everyone with a fitness #NewYearsResolution: here's how to easily incorporate exercise on your next trip: https://t.co/ksp5STVCru
814116202540859394,2016-12-28 14:30:02,"From the new world's longest flight to more Caribbean nonstops, here are the most exciting new routes for December: https://t.co/4c4zAC8RDY"
814113655247622145,2016-12-28 14:19:55,Probably my favorite use of 26k @spg points per night @StRegisMaldives 😍 Full review and TPGtv episodes to come https://t.co/ynG3FQ4XtK
814108677623939072,2016-12-28 14:00:08,"From Portugal to Peru, Mongolia to the Maldives, these are the 15 places we can't wait to visit in 2017: https://t.co/liQQ1q0fQU"
814101104166375425,2016-12-28 13:30:03,Looking for a less expensive rate on your Airbnb stay? Get free credits when you refer family &amp; friends #TPGtip: https://t.co/urJrwdJrq1
814093562216415232,2016-12-28 13:00:05,"These 10 tips from a businessman who flies 200,000 miles per year might change the way you travel: https://t.co/JrQTx3SSoc"
814086001991831552,2016-12-28 12:30:02,These 8 travel rewards cards let you score a huge sign-up bonus with no fee for the first year: https://t.co/iJ3iXUOgg1
814078467738320896,2016-12-28 12:00:06,How one US newcomer built credit quickly to get several premium cards and more than a million points and miles: https://t.co/U1ECQXozRC
813995399757303809,2016-12-28 06:30:01,Facing a delay when flying United? This simple reader tip can save you a ton of time and frustration: https://t.co/hzybDX6VWT
813987859090677760,2016-12-28 06:00:03,"It’s easier than you think to score the Southwest Companion Pass. Here’s how to get it for just 90,000 hotel points: https://t.co/efvLXarz51"
813980300074188801,2016-12-28 05:30:01,"From expandable carry-ons to mobile dressers, here are team TPG's favorite travel bags: https://t.co/hvDZroy8Ty"
813972497431429120,2016-12-28 04:59:00,Flying overseas? Be sure to follow these 7 tips to save on international ATM withdrawals: https://t.co/MxQx5BNJRo
813965200793735169,2016-12-28 04:30:01,"7 easy ways experienced travelers avoid making ""rookie mistakes"" on the road: https://t.co/2nq8WZXISt"
813957653168787456,2016-12-28 04:00:01,"If you have a premium credit card, it pays to know the ins and outs of this global lounge network: https://t.co/MGYaNlxQ36"
813950100535988224,2016-12-28 03:30:01,Haven’t had a chance to fly Southwest? Here’s what it’s like on board: https://t.co/UhFYyJPUaP
813942558455898112,2016-12-28 03:00:02,"Ready to upgrade? Consider one of these 5 carry-on bags, which combine style and strength: https://t.co/GeF3hImM98"
813935000508911617,2016-12-28 02:30:00,"When it comes to credit cards (and your score), timing is everything: https://t.co/28THqleYnH"
813927467249528833,2016-12-28 02:00:04,"The full scoop on United's new (and entirely unappealing) ""Basic Economy"" fares — rolling out next year: https://t.co/hjqWPE8t1H"
813919902725799940,2016-12-28 01:30:01,Few things are more thrilling than getting blasted by four giant jet engines: https://t.co/SRRgacXWj2
813919321785245696,2016-12-28 01:27:42,Uber Maldives™ @ The St. Regis Maldives Vommuli Resort https://t.co/MCqkHlz8Cz
813912372515586048,2016-12-28 01:00:06,Planning a trip to San Francisco? Here are 10 tips you probably won't find in a guidebook: https://t.co/I4EtpKoNG4
813904803571056640,2016-12-28 00:30:01,Why the Chase Sapphire Reserve card is an excellent pick for Americans living (or traveling) overseas: https://t.co/t0iJ2vdu7U
813897288342970370,2016-12-28 00:00:09,Sick of dealing with long lines at airport security? TSA PreCheck was made just for you: https://t.co/RUFLk6DbzU
813889705100144640,2016-12-27 23:30:01,Your Uber rating can impact whether or not drivers accept your ride request. Here's how to give it a boost: https://t.co/qjmf9ojfu3
813882159350091776,2016-12-27 23:00:02,Las Vegas' Cosmopolitan is certainly unique—great Marriott perks make it easy for points lovers to justify the cost: https://t.co/YrWlWWnkm3
813874605962174465,2016-12-27 22:30:01,Did you get something extra in your stocking this year from American Express? These folks did: https://t.co/eXnlZnHPeF
813867080760119296,2016-12-27 22:00:07,This new Ted Talk video explains why airlines always overbook flights: https://t.co/e27OjkVHmf
813859505360535553,2016-12-27 21:30:01,"Next time you're in New Orleans, leave Bourbon Street behind and head to one of these three locales outside the city:https://t.co/3p37N9uK4f"
813852001809420288,2016-12-27 21:00:12,"The luggage, the headphones, the clothes and other things I always bring on trips: https://t.co/KkTR9Eht8E"
813844414653153281,2016-12-27 20:30:03,What was it like to travel on Air Force One of yesteryear? Take a high-tech tour of this decidedly low-tech plane: https://t.co/01mWT77Vy9
813836910145769476,2016-12-27 20:00:14,Great news for fans of @HawaiianAir: international flyers are getting shiny new amenity kits. Here's a sneak peek: https://t.co/PPnDmEl9nG
813829308309446656,2016-12-27 19:30:01,Want a little extra spending money for your next trip to the Caribbean? Here's one way to get it: https://t.co/RSP3OIenfR
813821809556594690,2016-12-27 19:00:14,Here's how to stay in shape during your travels without ever having to leave your hotel #NewYearsResolution: https://t.co/XNckvUE6CR
813814209846923264,2016-12-27 18:30:02,"From amazing food to chic hotels, here's why you should make time to visit Athens on your next trip to Greece: https://t.co/tvnIdsoEsI"
813799109362651136,2016-12-27 17:30:01,"A big shopping portal bonus, plus 45x on magazines and double digit multipliers at Macys, Neiman Marcus and more: https://t.co/Q4XqkO7Os6"
813797787619819520,2016-12-27 17:24:46,More great deals on winter travel to Europe — NYC to Helsinki from just $269 round-trip: https://t.co/WoMLv0vj58
813791596349104128,2016-12-27 17:00:10,You can earn extra AA miles &amp; elite credit with these special fares — but you need to know what to look out for: https://t.co/LUHPx2WQOJ
813788906449764352,2016-12-27 16:49:29,As seen on Snapchat 💁🏼 @ Vommuli Island https://t.co/89EKBlb61y
813784025840189440,2016-12-27 16:30:05,"Heading to Florence, Madrid, Barcelona, London or Belfast? These 5 food markets are truly a treat for the senses: https://t.co/dUnJYvkmXX"
813775605032484866,2016-12-27 15:56:38,"Great deals to Hong Kong from the US starting at just $497 or 31,300 points round-trip: https://t.co/6B1avQczrc"
813768910524862464,2016-12-27 15:30:02,"Review: $1,500 per night is a ton to spend on a hotel, but this private island resort is unlike any other: https://t.co/G0omDWdsaT"
813761398375321601,2016-12-27 15:00:10,"Review: 21+ hours in business class on Singapore Airlines' A380 — 4 meals, 3 airports, 128 images: https://t.co/mWTwZYEZEU"
813753817137344513,2016-12-27 14:30:03,"Whether you're planning your first trip to Paris or visiting for the third time, keep these five things in mind: https://t.co/8oi3udOhsi"
813746296574148609,2016-12-27 14:00:10,"From the new world's longest flight to more Caribbean nonstops, here are the most exciting new routes for December: https://t.co/4c4zAC8RDY"
813738712702091264,2016-12-27 13:30:02,Points and miles make for a great insurance policy when inclement weather strikes at the last minute: https://t.co/Kjo28hB521
813731199218843649,2016-12-27 13:00:10,Looking for a less expensive rate on your Airbnb stay? Get free credits when you refer family &amp; friends #TPGtip: https://t.co/urJrwdJrq1
813723610632298496,2016-12-27 12:30:01,"Link your SPG/Marriott accounts, receive matched status and transfer points instantly — here's how: https://t.co/wIzZ89P9rH"
813716075271622656,2016-12-27 12:00:05,These 8 travel rewards cards let you score a huge sign-up bonus with no fee for the first year: https://t.co/iJ3iXUOgg1
813633012093059072,2016-12-27 06:30:01,"Few people enjoy frequent long-haul flights, but these 5 tips make them a bit easier to deal with: https://t.co/6kBFk7eNq6"
813631754603003904,2016-12-27 06:25:01,The largest (and only) hydrotherapy pool in the Maldives. Perfect to blast away jet lag and get… https://t.co/F2qGnAR70C
813625467047735296,2016-12-27 06:00:02,Facing a delay when flying United? This simple reader tip can save you a ton of time and frustration: https://t.co/hzybDX6VWT
813617911222956032,2016-12-27 05:30:00,Not all business-class seats were created equal. Here's how to avoid booking the bad ones: https://t.co/0pWgS2LJr2
813610109658157056,2016-12-27 04:59:00,"From expandable carry-ons to mobile dressers, here are team TPG's favorite travel bags: https://t.co/hvDZroy8Ty"
813602813167202304,2016-12-27 04:30:01,"What's it really like to be a flight attendant? Learn about flight perks, layovers, crash pads and more: https://t.co/QP7nr4gnrP"
813595271787642882,2016-12-27 04:00:03,"7 easy ways experienced travelers avoid making ""rookie mistakes"" on the road: https://t.co/2nq8WZXISt"
813587714373283840,2016-12-27 03:30:01,"Island hopping in the South Pacific, a nonstop to the northernmost state and other lesser-known United flights: https://t.co/Af2R9TdnQ2"
813580164823154689,2016-12-27 03:00:01,Haven’t had a chance to fly Southwest? Here’s what it’s like on board: https://t.co/UhFYyJPUaP
813572612672679940,2016-12-27 02:30:00,"Need a bed, shower or just free Wi-Fi at the airport? You'll find that and more at these top Priority Pass lounges: https://t.co/em59glj4XZ"
813565067329474562,2016-12-27 02:00:02,"When it comes to credit cards (and your score), timing is everything: https://t.co/28THqleYnH"
813564530588581890,2016-12-27 01:57:54,"Mornings in Vommuli / my best use of 26,000 @spg points per night! (Thought sadly they're raised… https://t.co/ayLShl52BE"
813557517984956416,2016-12-27 01:30:02,"Review: A super-luxurious flight from NYC in Etihad's A380 Apartment, despite an in-flight hiccup or two: https://t.co/lqM0jvwGNz"
813549977167347713,2016-12-27 01:00:04,Few things are more thrilling than getting blasted by four giant jet engines: https://t.co/SRRgacXWj2
813542415319572480,2016-12-27 00:30:01,Everything you always wanted to know about turbulence but were afraid to ask: https://t.co/SBjY3fWUT8
813534870651731968,2016-12-27 00:00:02,Why the Chase Sapphire Reserve card is an excellent pick for Americans living (or traveling) overseas: https://t.co/t0iJ2vdu7U
813527316399869957,2016-12-26 23:30:01,Two Amex Platinums? Here are 7 reasons you should have both versions of the company's flagship card: https://t.co/Nm8ZyBvrwb
813519798571307008,2016-12-26 23:00:09,Your Uber rating can impact whether or not drivers accept your ride request. Here's how to give it a boost: https://t.co/qjmf9ojfu3
813512216146300933,2016-12-26 22:30:01,Travel guru Anthony Bourdain opens up about what it was like to slurp noodles with President Obama in Vietnam: https://t.co/gSYbeWUjZW
813508440920354817,2016-12-26 22:15:01,JetBlue has now matched American's $156 NYC to Cancun deal. A great chance to get away from winter weather: https://t.co/vCgVO6z0fK
813504704231645184,2016-12-26 22:00:10,Did you get something extra in your stocking this year from American Express? These folks did: https://t.co/eXnlZnHPeF
813489604481470464,2016-12-26 21:00:10,"Next time you're in New Orleans, leave Bourbon Street behind and head to one of these three locales outside the city:https://t.co/3p37N9uK4f"
813482018470240256,2016-12-26 20:30:01,The Alaska-Virgin America merger opens up some interesting new transfer opportunities: https://t.co/8470h4B5JW
813474512855506948,2016-12-26 20:00:12,What was it like to travel on Air Force One of yesteryear? Take a high-tech tour of this decidedly low-tech plane: https://t.co/01mWT77Vy9
813459397276004353,2016-12-26 19:00:08,Want a little extra spending money for your next trip to the Caribbean? Here's one way to get it: https://t.co/RSP3OIenfR
813451823709323264,2016-12-26 18:30:02,Headed to Hawaii? See which island (and resort) is best for you: https://t.co/hAJMxf1FDq
813444323727593472,2016-12-26 18:00:14,"From amazing food to chic hotels, here's why you should make time to visit Athens on your next trip to Greece: https://t.co/tvnIdsoEsI"
813436723497680896,2016-12-26 17:30:02,"Business class from Miami to New York on American for $68? Yes, really: https://t.co/3kzJQ6CDFo"
813429191677018112,2016-12-26 17:00:06,"A big shopping portal bonus, plus 45x on magazines and double digit multipliers at Macys, Neiman Marcus and more: https://t.co/Q4XqkO7Os6"
813421635470557184,2016-12-26 16:30:05,"Review: You can't book with points, but insider deals and great credit card promos make the Wynn a top pick in Vegas:https://t.co/mi2PLFGMiP"
813414143051071488,2016-12-26 16:00:18,"Heading to Florence, Madrid, Barcelona, London or Belfast? These 5 food markets are truly a treat for the senses: https://t.co/dUnJYvkmXX"
813406527977586688,2016-12-26 15:30:03,You won't always get the category bonus points you might be expecting — here's why: https://t.co/WW3F3PsW04
813399002666401793,2016-12-26 15:00:09,"Review: $1,500 per night is a ton to spend on a hotel, but this private island resort is unlike any other: https://t.co/G0omDWdsaT"
813383932683157504,2016-12-26 14:00:16,"Whether you're planning your first trip to Paris or visiting for the third time, keep these five things in mind: https://t.co/8oi3udOhsi"
813376321913061377,2016-12-26 13:30:01,Frustrated with loyalty program changes? It could pay to speak up: https://t.co/EPc8lNeyhq
813368816008908801,2016-12-26 13:00:12,Points and miles make for a great insurance policy when inclement weather strikes at the last minute: https://t.co/Kjo28hB521
813361225295888387,2016-12-26 12:30:02,This new tool makes it easier than ever to find (and book) cheap flights: https://t.co/NojSLWWTnX
813353691306672128,2016-12-26 12:00:06,"Link your SPG/Marriott accounts, receive matched status and transfer points instantly — here's how: https://t.co/wIzZ89P9rH"
813297937891459075,2016-12-26 08:18:33,@andrewmulligan no
813270627285078016,2016-12-26 06:30:02,"Does it make sense for you to get the Chase Sapphire Reserve card, despite the high annual fee? We do the math:… https://t.co/tUpfKGCIuo"
813269757860278273,2016-12-26 06:26:34,"RT @MarketWatch: America’s best and worst airports, as ranked by @ThePointsGuy https://t.co/iyPHl84v8J https://t.co/fMnlYsMY4n"
813269716923887616,2016-12-26 06:26:24,@SievertMike @DeparturesMag are you on the list to buy one? I'm so intrigued...
813263080108892160,2016-12-26 06:00:02,"Few people enjoy frequent long-haul flights, but these 5 tips make them a bit easier to deal with: https://t.co/6kBFk7wohE"
813255523130806272,2016-12-26 05:30:00,"Looking to fly business class with a companion? From AA's 777 to Etihad's A380, here are some of your best options: https://t.co/QGjUFX1kmc"
813247721096232960,2016-12-26 04:59:00,Not all business-class seats were created equal. Here's how to avoid booking the bad ones: https://t.co/0pWgS2LJr2
813240424018178048,2016-12-26 04:30:01,The cabin of this Boeing test plane doesn't look anything like the 737 you're used to flying: https://t.co/lkMouNXDOH
813232881153835010,2016-12-26 04:00:02,"What's it really like to be a flight attendant? Learn about flight perks, layovers, crash pads and more: https://t.co/QP7nr4gnrP"
813225324699938816,2016-12-26 03:30:01,These secret fare discounts with Amex can save you thousands on travel with American Airlines: https://t.co/QqacXSnLF1
813219705796202496,2016-12-26 03:07:41,@nupurgambhir I'm eyeing New Zealand
813217778241048576,2016-12-26 03:00:01,"Island hopping in the South Pacific, a nonstop to the northernmost state and other lesser-known United flights: https://t.co/Af2R9TdnQ2"
813217203071819776,2016-12-26 02:57:44,I seriously want this. Pilots out there what say you? https://t.co/dsN2Unpoi9
813202683268071424,2016-12-26 02:00:02,"Need a bed, shower or just free Wi-Fi at the airport? You'll find that and more at these top Priority Pass lounges: https://t.co/em59glj4XZ"
813195126273142787,2016-12-26 01:30:01,"American’s route network is pretty extensive, but some of these destinations probably aren’t on your radar: https://t.co/qxRtl5sCpJ"
813187577704546304,2016-12-26 01:00:01,"Review: A super-luxurious flight from NYC in Etihad's A380 Apartment, despite an in-flight hiccup or two: https://t.co/lqM0jvwGNz"
813180027772801024,2016-12-26 00:30:01,You can leave the Zika worries behind when you plan a trip to any of these four beach spots: https://t.co/uGjImgF7Zo
813172481905270788,2016-12-26 00:00:02,Everything you always wanted to know about turbulence but were afraid to ask: https://t.co/SBjY3fWUT8
813164927863111680,2016-12-25 23:30:01,"What to expect in aviation, loyalty programs and credit card offers in 2017 — so you can start planning now: https://t.co/DlsYTqxnLc"
813157399628546049,2016-12-25 23:00:06,Two Amex Platinums? Here are 7 reasons you should have both versions of the company's flagship card: https://t.co/Nm8ZyBvrwb
813149827454431232,2016-12-25 22:30:01,Elite status isn't your only option for scoring cheap hotel upgrades: https://t.co/eygdT12kqJ
813142307759390721,2016-12-25 22:00:08,Travel guru Anthony Bourdain opens up about what it was like to slurp noodles with President Obama in Vietnam: https://t.co/gSYbeWUjZW
813134729281175553,2016-12-25 21:30:01,"A secret lounge, Maybachs and other perks United offers to A-listers (and some Global Services members) at LAX: https://t.co/voZ17TDUTo"
813127205198974976,2016-12-25 21:00:07,"The holidays are over, but there's still a lot happening in the travel world next week: https://t.co/Vz5MdkurFk"
813119632185982976,2016-12-25 20:30:02,This is why they tell you to put your tray table in the upright position: https://t.co/MjoRqGlvhe
813112119113711616,2016-12-25 20:00:10,The Alaska-Virgin America merger opens up some interesting new transfer opportunities: https://t.co/8470h4B5JW
813104530107801600,2016-12-25 19:30:01,Getting ready for a trip to Rome? Here are 10 tips for visiting Italy's capital city you probably haven't heard yet: https://t.co/6hePbCG0av
813096985184108544,2016-12-25 19:00:02,Still alive! Get out of the cold and make your way to a beach paradise for a super low price: https://t.co/vCgVO6z0fK
813089445666758656,2016-12-25 18:30:04,It's been a contentious relationship to say the least... this airline marriage just wasn't meant to be: https://t.co/6IT9jGU3xb
813081946679033856,2016-12-25 18:00:17,Headed to Hawaii? See which island (and resort) is best for you: https://t.co/hAJMxf1FDq
813074335070035968,2016-12-25 17:30:02,Buy economy (from just $68 one-way) and fly in the best business-class seat in AA's fleet on these upcoming flights: https://t.co/3kzJQ6CDFo
813066826150248448,2016-12-25 17:00:12,Norwegian's at it again — grab one of these ultra-cheap roundtrip fares to Norway or Sweden while you can: https://t.co/CN4eE21knO
813059233029718016,2016-12-25 16:30:01,150 flights have been cancelled so far due to a walkout by Korean Air pilots: https://t.co/jdPilgenrr
813051793097846789,2016-12-25 16:00:27,"Review: You can't book with points, but insider deals and great credit card promos make the Wynn a top pick in Vegas:https://t.co/mi2PLFGMiP"
813051246223433728,2016-12-25 15:58:17,Santa's gift this year was a rare giant Manta ray spotting ❤️🤘🏼🙏🏼 If you've never dived before I… https://t.co/FiviL8d8U8
813044140879572992,2016-12-25 15:30:03,"Heading to Hong Kong, Taipei, Tokyo, Bangkok or rural Thailand? Visit these five food markets for a real treat: https://t.co/1BsGf1k3kO"
